,rdfs:comment
1688,Widespread disapproval of a group of people or set of behaviors based on preconceived ideas.
1689,Written literary works that are short in length and detail a self-contained incident or concept; use in reference to short stories focusing on gay characters or themes.
1690,Sons who identify as gay men.
1691,Organized groups of LGBTQ+ people formed for the purpose of playing sports; includes professional and amateur sports clubs.
1692,"Gay men who have experienced and survived bullying due to their sexual identity; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
1693,"Gay men who have experienced and survived hate crimes; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
1694,"Gay men who have experienced hate crimes and may or may not have survived; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
1695,"Gay men who have experienced and survived rape; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
1696,"Gay men who have experienced rape and may or may not have survived; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
1697,"Gay men who have experienced and survived sexual abuse; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
1698,"Gay men who have experienced sexual abuse and may or may not have survived; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
1699,"Gay men who have experienced and survived war; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
1700,"Gay men who have experienced war and may or may not have survived; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
1701,"Works in the performance arts that focus on gay characters, communities, or issues."
1702,Groups of theatrical performers comprised of gay men; may focus on performing works written by gay men or about gay issues.
1703,"Works in the performance arts that focus on lesbian characters, lesbian communities, or lesbian issues."
1704,Works of drama consisting primarily of dialogue between characters and intended for theatrical performance; use in reference to plays focusing on LGBTQ+ characters or themes.
1705,Films or theatrical productions in which singing and/or dancing are essential elements.
1706,Groups of theatrical performers comprised of lesbians; may focus on performing works by lesbians or about lesbian issues.
1707,Organized groups of lesbian workers who are united to make decisions relating to the conditions affecting their labor.
1708,"Gay men who have experienced bullying due to their sexual identity and may or may not have survived; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
1709,"Gay men's legal rights to be informed, present, and heard within the criminal justice system after having been harmed or injured as the result of of a crime, accident, or other event."
1710,Term describing a person's intuitive ability to identify others' sexual orientations.
1711,"Gender expression that does not conform to a single, distinct gender identity."
1712,"The culturally specific rights, responsibilities, and connections afforded to individuals or communities of one gender by individuals or communities of another gender."
1713,"Physical, legal, cultural, or rhetorical separation of people according to their gender."
1714,"Behaviors, acts, or forms of expression that contradict or do not conform to a given culture's norms surrounding gender."
1715,The systematic killing of members of a specific gender for their gender.
1716,The systematic belief that there are only two genders (men and women) and that individuals must conform to the gender they were assigned at or shortly after birth.
1717,A surgically constructed penis; typically made using tissue grafts from other parts of the body.
1718,The medical status of individuals who do not plan to undertake a surgical procedure. Commonly used to describe trans people who have not and do not plan to undertake gender affirming surgery.
1719,Individuals who have recently undergone a surgical operation; commonly used to describe trans people who have undergone gender affirming surgery.
1720,The medical status of individuals who plan to undertake a surgical procedure but have not yet done so. Commonly used to describe trans people who have not yet undergone gender affirming surgery but plan to do so.
1721,"A psychological diagnosis (replacing the outdated and offensive ""gender identity disorder"") used to describe the sense of unease or dissatisfaction an individual feels as a result of incongruence between their gender identity and their assigned gender, gender expression, and/or the way their gender is perceived by others. This term is also used colloquially by individuals to describe the discomfort and distress they experience as a result of this incongruence. Though gender dysphoria is often associated with trans people, people of any identity may experience gender dysphoria when they do not feel ""right"" in their body or the way their gender is being expressed."
1722,"The powerful feeling of joy and comfort an individual experiences when their assigned gender, gender expression, and/or the way their gender is perceived by themselves and others aligns with their gender identity. Though gender euphoria is often associated with trans people, people of any identity may experience gender euphoria when they feel that their gender has been seen and affirmed, or when they feel ""right"" in their body and the way their gender is being expressed."
1723,"Widely held but oversimplified and often offensive ideas regarding gender roles, which are socially-determined rules or standards for gendered behaviors. Use the term ""Gender roles"" to describe gender roles as a whole, rather than stereotypes related to them."
1724,Gender expression that involves blending dress and behaviors associated with different genders. Do not use to describe the identities of genderqueer or non-binary people.
1725,"People who identify outside, transgress, or do not conform to a given culture's gender roles or expectations. Only use in reference to people who self-identity as gender non-conforming. Do not use to describe cisgender people whose dress or behaviors do not conform to gender roles or expectations."
1726,Non-binary people who have not yet reached the age of adolescence.
1727,"A psychological diagnosis (replacing the outdated and offensive ""gender identity disorder"") used to describe the sense of unease or dissatisfaction an individual feels as a result of incongruence between their gender identity and their assigned gender, gender expression, and/or the way their gender is perceived by others. This term is also used colloquially by individuals to describe the discomfort and distress they experience as a result of this incongruence. Though gender dysphoria is often associated with trans people, people of any identity may experience gender dysphoria when they do not feel ""right"" in their body or the way their gender is being expressed. Use this particular term for works about children who experience or have experienced gender dysphoria."
1728,"A psychological diagnosis (replacing the outdated and offensive ""gender identity disorder"") used to describe the sense of unease or dissatisfaction an individual feels as a result of incongruence between their gender identity and their assigned gender, gender expression, and/or the way their gender is perceived by others. This term is also used colloquially by individuals to describe the discomfort and distress they experience as a result of this incongruence. Though gender dysphoria is often associated with trans people, people of any identity may experience gender dysphoria when they do not feel ""right"" in their body or the way their gender is being expressed. Use this particular term for works about adolescents (people between the ages of childhood and adulthood) who experience or have experience gender dysphoria."
1729,An obsolete psychological diagnosis that medicalizes trans identities and practices; only use in historical contexts.
1730,"Moral, social, and legal standards or principles for human behavior, commonly understood as fundamental to all human beings and subject to legal protection."
1731,Padding or phallic objects designed to be worn in the front of an individual's pants or underwear to give the appearance of having a bulge.
1732,The act of wearing padding or a phallic object in the front of the pants or underwear to give the appearance of having a bulge.
1733,Slang term describing various methods used to visually conceal the penis to give a flatter appearance in clothing.
1734,"The process of removing hair from the body through shaving, waxing, depilatories, laser hair removal, etc. May have a social component related to gender identity and/or have an erotic component."
1735,"A form of gender expression that seeks to subvert the gender binary or gender roles by mixing and messing with (or ""fucking with"") traditionally masculine and feminine components. Typically used to describe gender practices and presentation, though some people identify as ""genderfuck"" or as ""genderfuckers."" Only use to describe people and the practices of people who self-identify with genderfuck."
1736,"Non-binary gender identity that is not defined in relation to human understandings of gender (i.e., female or male, woman or man), but instead in relation to animals, plants, or other things"
1737,Gender identity that does not conform to the gender binary and emphasizes alignment with queer politics.
1738,Gender identity that encompasses multiple or all genders.
1739,Identity term used to describe the intersection of trans identity and genderqueer identity.
1740,"Gender identity including three genders, typically male, female, and a third (often non-binary) gender."
1741,Identity term used to describe people who cross or transgress the  gender they were assigned at birth.
1742,Gender identity that exists outside of the gender binary; may be used as a specific gender identity or as an umbrella term in the Euro-American gender system for gender identities outside of the gender binary.
1743,"A person who identifies their gender in relation to non-human understandings of gender and relates to animals, plants, or other things."
1744,"Umbrella term used to describe individuals who ""trans"" gender regardless of their identification; sometimes used as a way to historicize non-binary identities."
1745,Issues and discussions about the presence of homophobia in fan spaces and works.
1746,Issues and discussions about the presence of misogyny in fan spaces and works.
1747,The participation and inclusion of transgender people in fan communities.
1748,The participation and inclusion of women in fan communities.
1749,The participation and inclusion of non-binary people in fan communities.
1750,Issues and discussions about the presence of transphobia in fan spaces and works.
1751,The participation and inclusion of intersex people in fan communities.
1752,The participation and inclusion of Two-Spirit people in fan communities.
1753,"Official documentation issued by a government that certifies the holder’s identity and citizenship, entitling them to travel under to and from other countries."
1754,"Someone who is both trans and genderqueer and who identifies as transgenderqueer.
"
1755,"Individuals who self-identify as genderqueer, an umbrella term for queer or non-normative gender identities and gender expressions."
1756,People who identify as multiple or all genders.
1757,"People whose gender continually moves between or among three gender identities, typically male, female, and a third gender."
1758,"Ideological, social, cultural, and physical separation between men and women or between lesbians and heterosexual women."
1759,"Term originating in the early 1930s and 40s to describe a man's responsibility and pride in providing for, protecting, and defending his family. It is unclear whether the term originates in Spain or Portugal. Though there are positive sides of machismo and it remains an important part of Iberian and Latin American cultures, the concept has also been criticized for its perceived role in perpetuating misogyny, harmful gender roles, and domestic and sexual violence."
1760,"Academic field of research and study about Two-Spirit people, Two-Spirit identity, and Two-Spirit communities."
1761,"Academic field of research and study about intersex people, intersex identity, and intersex communities."
1762,The fandom trope in which cisgender men can become pregnant. This term should not be used to describe pregnant trans men.
1763,"Language that avoids the use of gender-specific words, either to be inclusive of nonbinary, agender, and other gender diverse peoples, or to avoid gender bias."
1764,"Discrimination, prejudice, or bias directed against a particular sex or gender based on the assumption that this sex or gender is intrinsically inferior to another."
1765,External genitalia surrounding the vagina.
1766,Girls (typically children or youth younger than 18) who are heterosexual.
1767,Girls (typically children younger than 18) who are lesbians.
1768,Intersex practitioners of Wicca or other Pagan religions who self-identify as witches.
1769,Lesbians who practice Wicca or other Pagan religions and self-identify as witches.
1770,Queer practitioners of Wicca or other Pagan religions who self-identify as witches.
1771,Transgender practitioners of Wicca or other Pagan religions who self-identify as witches.
1772,A term that refers to a group of different variations that affect the development of the gonads before birth.
1773,"People with mixed gonadal dysgenesis are born with a mosaic (usually 45X/46XY) chromosome pattern and may develop some gonadal streak tissue and testicular tissue. They may be born with a vulva or penis, or with visible genital variations. They usually have a partially or completely developed uterus, and they may have combinations of internal reproductive structures such as a fallopian tube and a vas deferens on opposite sides of the body. In adolescence, people with mixed gonadal dysgenesis may develop some secondary sex characteristics associated with a typical testosterone puberty, depending on the amount of hormone-producing testicular tissue they have."
1774,"A general term used to describe testes, ovaries, or ovotestes."
1775,Minimally developed gonadal tissue that is present in place of either testes or ovaries. Streak gonads are more common in certain intersex variations such as Swyer syndrome.
1776,"People who have one or more LGBTQ+ grandparent. For grandchildren who are themselves LGBTQ+, use the term ""LGBTQ+ grandchildren."""
1777,LGBTQ+ people who are grandchildren.
1778,"People who have one or more LGBTQ+ grandchild. For grandparents who are themselves LGBTQ+, use the term ""LGBTQ+ grandparents."""
1779,LGBTQ+ people who are grandparents.
1780,"Literary works, typically written in verse, that focus on greyromantic characters, themes, or identity.				"
1781,"Written literary works about greyromanticism, greyromantic characters, or greyromantic themes.				"
1782,Written accounts of the lives of individuals known to be lesbians.
1783,Written accounts of the lives of individuals known to be queer.
1784,Written accounts of the lives of individuals known to be transgender.
1785,Works consisting of sequential images often accompanied by text; use in reference to comics focusing on greyromantic characters or themes.				
1786,Works of fiction written to be performed; use in reference to dramatic works focusing on greyromantic characters or themes.				
1787,"Works in the performance arts that focus on greyromantic characters, communities, or issues.				"
1788,Literary works with erotic or sexual elements; use in reference to erotic literature focusing on gay characters or themes.				
1789,Written works that include magical or fantastical elements; use in reference to fantasy fiction focusing on lesbian characters or themes.				
1790,"Past events or accounts of the past concerning greyromantic people, or people who might be perceived as greyromantic if they were alive today.				"
1791,"Written works of fiction intended to frighten, scare, or disgust; use in reference to horror fiction focusing on LGBTQ+ characters or themes.				"
1792,Written literary works about the investigation of crime or the work of detectives; use in reference to mystery and detective fiction focusing on greyromantic characters or themes.				
1793,"Individuals who experience rare, infrequent, or low-intensity romantic attraction."
1794,"An umbrella term for romantic orientations generally characterized by rare, infrequent, or low-intensity romantic attraction."
1795,"People who experience infrequent, rare, or low-intensity sexual attraction."
1796,Written literary work focusing on romantic relationships and love between people; use in reference to romance fiction focusing on greyromantic characters or themes.				
1797,"Written literary works about imaginative or futuristic concepts incorporating science, technology, space, time travel, and other speculative elements; use in reference to science fiction focusing on greyromantic characters or themes.				"
1798,Written literary works that are short in length and detail a self-contained incident or concept; use in reference to short stories focusing on greyromantic characters or themes.				
1799,"Greyromantic people between the ages of childhood and adulthood.
"
1800,"Written literary works for an audience of readers from 12-18 years of age, also known as young adult literature or YA; use in reference to youth literature focusing on greyromantic characters or themes.				"
1801,"A sexual orientation generally characterized by infrequent, rare, or low-intensity sexual attraction."
1802,"The original name for AIDS, proposed after public health scientists noticed clusters of Kaposi's sarcoma and Pneumocystis pneumonia among gay men in California and New York City. Should only be used in historical contexts."
1803,"In the Dominican Republic, this term refers to people who have undifferentiated genitalia and who are generally raised as female until puberty; may be considered a third gender."
1804,Asexual people who reside in or are descended from those indigenous to the Indian state of Gujarat.
1805,LGBTQ+ people who reside in or are descended from those indigenous to the Indian state of Gujarat.
1806,Bisexual people who reside in or are descended from those indigenous to the Indian state of Gujarat.
1807,Gay men who reside in or are descended from those indigenous to the Indian state of Gujarat.
1808,Intersex people who reside in or are descended from those indigenous to the Indian state of Gujarat.
1809,Lesbians who reside in or are descended from those indigenous to the Indian state of Gujarat.
1810,Queer people who reside in or are descended from those indigenous to the Indian state of Gujarat.
1811,Transgender people who reside in or are descended from those indigenous to the Indian state of Gujarat.
1812,"Treatment that involves the use of three or more drugs in combination to treat HIV infection by preventing the virus from making copies of itself in the body; can lessen the damage to the immune system caused by HIV, slow down the development of AIDS, and prevent the transmission of HIV to others."
1813,Threadlike strands of keratin growing out of the skin on the body. Use in reference to hair as a secondary sex characteristic or as a form of self expression.
1814,LGBTQ+ people who have siblings.
1815,A restraint device designed to secure an individual’s wrists.
1816,Purposeful subtextual coding of a character or relationship in a piece of media as queer. Queer coding is distinct from the practice of queerbaiting in that the queer codes are intentionally present rather than falsely implied and are not typically used as a marketing tactic.
1817,
1818,A term used in the swinging community to describe a type of partner swapping in which sexual activities happen in different spaces or rooms where partners may not necessarily be in sight of each other.
1819,A term used in the swinging community to describe a type of partner swap in which sexual activities happen in the same shared space so that all partners are within sight of one another.
1820,Asexual people who are indigenous to or descended from those indigenous to what is now the Indian state of Haryana. This term can also apply to those who currently reside in Haryana.
1821,LGBTQ+ people who are indigenous to or descended from those indigenous to what is now the Indian state of Haryana. This term can also apply to those who currently reside in Haryana.
1822,Bisexual people who are indigenous to or descended from those indigenous to what is now the Indian state of Haryana. This term can also apply to those who currently reside in Haryana.
1823,Gay men who are indigenous to or descended from those indigenous to what is now the Indian state of Haryana. This term can also apply to those who currently reside in Haryana.
1824,Intersex people who are indigenous to or descended from those indigenous to what is now the Indian state of Haryana. This term can also apply to those who currently reside in Haryana.
1825,Lesbians who are indigenous to or descended from those indigenous to what is now the Indian state of Haryana. This term can also apply to those who currently reside in Haryana.
1826,Transgender people who are indigenous to or descended from those indigenous to what is now the Indian state of Haryana. This term can also apply to those who currently reside in Haryana.
1827,Queer people who are indigenous to or descended from those indigenous to what is now the Indian state of Haryana. This term can also apply to those who currently reside in Haryana.
1828,"Any form of expression (written or verbal) with the intention to vilify, humiliate, or incite hatred against a individual or group of people on the basis of their actual or perceived race, religion, nationality, sexual identity, gender identity, or ability status."
1829,"Publication and dissemination of false statements about LGBTQ+ people, groups, or communities in order to harm their reputations."
1830,A set of pronouns. Used in this manner: He went to the Homosaurus website. I watched him browse the Homosaurus. He uses the Homosaurus himself.
1831,"Organized measures taken for the maintenance, treatment, or improvement of physical health or conditions of the body; use in reference to physical health care addressing the particular needs of LGBTQ+ individuals or communities."
1832,Institutions providing health services for LGBTQ+ people.
1833,"Cheyenne term for a half-man, half-woman persona."
1834,A genre of anime and manga characterized by explicit sexual content; can also include hentai video games.
1835,"The use of plants to improve health, prevent disease, and/or treat illness."
1836,Individuals who have not undergone hormone treatment; typically used to describe trans people who have not undergone and/or do not plan to undergo hormone treatment.
1837,"A term originating from Greek mythology that refers to beings that are both fully female and fully male. The term was once adopted in the medical realm to describe people with intersex variations generally (and later to describe someone with both ovarian and testicular tissue specifically), but it is now recognized to be stigmatizing, imprecise, and misleading. Many people in the intersex community consider the use of this term to be pathologizing and deeply offensive, while other intersex people have chosen to reclaim the term to describe themselves and their bodies. Do not use this term to describe an individual unless they explicitly identify with it and have chosen to use it."
1838,The notion or belief that heterosexuality is the normal or preferred sexual orientation.
1839,"The projection of heteronormative ideals and constructs onto LGBTQ+ cultures and identities, predicated on the assumption that LGBTQ+ people (particularly cisgender gay men and lesbians) must conform to the norms and values of heterosexuality (e.g., the gender binary, marriage, procreation, and monogamy) in order to be viewed as ""normal"" and gain social acceptance. "
1840,"Social processes through which ideas, characteristics, and behaviors come to be seen as ""normal"" or ""natural"" and accepted as such."
1841,"Romantic and sexual attraction to members of the opposite sex or gender, typically in a culture that understands sex and gender through the binary opposition of male/female or man/woman."
1842,Heterosexual people between the ages of childhood and adulthood.
1843,Term used to describe the sexual identity of individuals who are romantically and/or sexually attracted to people assigned the “opposite” sex at birth.
1844,The legally and formally recognized union of a heterosexual man and woman as partners in a personal relationship.
1845,A sexuality that involves attraction to only one gender; includes homosexuality and heterosexuality.
1846,Individuals who are attracted to only one gender; includes gay people and straight people.
1847,"In sociology, this term is used to describe social relations and bonds between members of the opposite sex or gender in a given culture. Typically excludes romantic and sexual relationships."
1848,Term used to describe relationships that are mostly monogamous with occasional exceptions made for sexual play.
1849,"In polyamory circles, this term refers to the practice of engaging in multiple-partner relationships that are ""closed off"" to new participants per the agreement of those involved."
1850,A term used in hierarchical polyamory to refer to the partner whose interests and desires come before those of any secondary partner(s).
1851,A term used in hierarchical polyamory to refer to partners whose interests and desires come second to those of the primary partner(s).
1852,"Individuals who engage in relationships in which the dominant partner has multiple spouses, though the marriages are not typically recognized by society or law."
1853,Urdu term used in Southeast Asia to describe transgender people.
1854,A variant term for hijra used in northern India.
1855,"In South Asia, this term is used to describe people who are assigned male at birth who exhibit feminine characteristics. Please note that not all kothis identify as hijra or transgender."
1856,"In India, this term is used to describe people assigned male at birth who become genderfluid in a spiritual conversion."
1857,"A term used in Pakistan and Northern India to describe third-gender people, typically people assigned male at birth who identify as female."
1858,"Bisexual people who speak Spanish, are from Spanish-speaking countries, and/or are descended from Spanish-speaking cultures; only use for individuals who self-identify as Hispanic. Do not conflate with Latino/a/x or Chicano/a/x."
1859,"LGBTQ+ people who speak Spanish, are from Spanish-speaking countries, and/or are descended from Spanish-speaking cultures; only use for individuals who self-identify as Hispanic. Do not conflate with Latino/a/x or Chicano/a/x."
1860,"Gay men who speak Spanish, are from Spanish-speaking countries, and/or are descended from Spanish-speaking cultures; only use for individuals who self-identify as Hispanic. Do not conflate with Latino/a/x or Chicano/a/x."
1861,"Intersex people who speak Spanish, are from Spanish-speaking countries, and/or are descended from Spanish-speaking cultures; only use for individuals who self-identify as Hispanic. Do not conflate with Latino/a/x or Chicano/a/x."
1862,"Lesbians who speak Spanish, are from Spanish-speaking countries, and/or are descended from Spanish-speaking cultures; only use for individuals who self-identify as Hispanic. Do not conflate with Latino/a/x or Chicano/a/x."
1863,"Queer people who speak Spanish, are from Spanish-speaking countries, and/or are descended from Spanish-speaking cultures; only use for individuals who self-identify as Hispanic. Do not conflate with Latino/a/x or Chicano/a/x."
1864,"Transgender people who speak Spanish, are from Spanish-speaking countries, and/or are descended from Spanish-speaking cultures; only use for individuals who self-identify as Hispanic. Do not conflate with Latino/a/x or Chicano/a/x."
1865,"Medical tests used to determine the presence of HIV antibodies or antigens in an individual's blood, saliva, or urine."
1866,Individuals who have not contracted HIV.
1867,People who have contracted HIV and received treatment to reduce their HIV antibodies to an amount that can no longer be detected by standard HIV tests.
1868,The presence (seropositivity) or absence (seronegativity) of antibodies in blood serum; commonly used in in reference to HIV testing.
1869,Partnerships in which one person has HIV and the other does not.
1870,Diseases or infections that are transmitted via sexual contact or activity.
1871,A medical treatment in which a person receives laboratory-made antibodies to help fight an infection or disease.
1872,Medication taken to prevent the contraction of HIV.
1873,Term used to describe the period of time between exposure to a virus and when antibodies for the virus are detectable; often used in reference to HIV testing when a test changes from HIV negative to HIV positive.
1874,"The homoerotic fan pairing of Kirk and Spock from Star Trek: The Original Series. The Kirk/Spock fandom originated much of the terminology and practices associated with fandom today--for example, the word ""slash"" comes from the forward slash in Kirk/Spock."
1875,Favorable association between a nationalist ideology and LGBTQ+ people or their rights.
1876,"A variety of marketing and political strategies aimed at promoting products, countries, people, or entities to LGBTQ+ people or using LGBTQ+-related symbols in order to be perceived as progressive, modern, and tolerant."
1877,Outdated term for lesbians and gay men. The use of the word began to disappear with the emergence of the gay liberation movement of the late 1960s and early 1970s.
1878,"Non-reciprocal genital contact, typically fellatio, between younger and older men that takes place during initiation rituals practiced by the Sambari people of Papua New Guinea. This term was developed by Western outsiders and has been strongly criticized by the affected community."
1879,Friendship and connection between two or more male-identified people.
1880,"A period of time in a relationship characterized by passionate love as well as intense feelings of attraction and ecstasy, sometimes accompanied by idealization of a partner or the shared relationship."
1881,"A strong, almost giddy feeling of excitement and infatuation common in the beginning of a new romantic relationship. Often used in polyamory contexts."
1882,"A patient care model that gained popular usage in the 1950s. In this model, parents are used to quickly decide on a gender assignment for their intersex baby, under the assumption that the child would identify with whichever gender their parents raised them as. If a child later deviated from the assigned gender, parents were encouraged to verbally and physically ""correct"" the child and enforce gender norms. In practice, this resulted in life-altering, unnecessary genital surgeries, irreversible hormone treatments, and dishonesty on the parent's part. A patient-centered model, in which the intersex child is allowed to grow up and make their own choices regarding their gender and surgical option, is now preferred. "
1883,Medications used to block the body from producing certain hormones in order to replace or supplement them with other types of hormones.
1884,Group of medications used to inhibit puberty.
1885,The steroidogenic factor 1 (SF-1) protein is a transcription factor involved in sex determination. The SF-1 protein controls the activity of genes related to the gonads and adrenal glands.
1886,A set of pronouns. Used in this manner: Hu went to the Homosaurus website. I watched hum browse the Homosaurus. Hu uses the Homosaurus humself.
1887,"Legal, social, or ethical principles of freedom or entitlement held by intersex people. Often used to refer to intersex people's right to bodily autonomy and, specifically, their right to delay or decline unnecessary medical interventions."
1888,"People with hyperandrogenism have higher-than-typical levels of testosterone and/or other androgens. In people with XX chromosomes, hyperandrogenism can result in the development of secondary sex characteristics that are associated with the influence of testosterone (such as facial and body hair) to varying degrees. Hyperandrogenism may or may not be the result of an underlying intersex variation, but it is common in several variations (including CAH and PCOS). People with hyperandrogenism who aren’t intersex will nonetheless often have many experiences in common with intersex people, such as encountering exclusion and discrimination in sex-segregated contexts like sports."
1889,"People with hypogonadism produce lower-than-typical levels of hormones like testosterone and estrogen, or none at all. This can affect how a person’s secondary sex characteristics develop as well as their fertility. Hypogonadism can be a result of a difference in how someone’s brain signals for their gonads to produce (or not produce) hormones, or it can be a feature of their gonads directly. Hypogonadism is not always caused by an intersex variation, but can be related to Klinefelter syndrome, Turner syndrome, and several other variations."
1890,"People with hypospadias are born with their urinary opening located somewhere other than the tip of the penis. In ""distal hypospadias,"" the urinary opening is elsewhere on the glans (head) of the penis, whereas in ""proximal hypospadias,"" it is on the underside of the penis and sometimes further back near the scrotum. Hypospadias is one of the most common and visible genital variations. People with hypospadias often have additional variations like chordee (a bend in the penis) or cryptorchidism (undescended testicles)."
1891,A medical procedure in which the egg of one partner is fertilized with donor sperm and then transferred to the uterus of the other partner to bring to term.
1892,"The practice or policy of providing equal access and support to groups of people who might otherwise be excluded or marginalized, such as LGBTQ+ people, people of color, disabled people, etc."
1893,The practice or policy of providing equal access and support to trans people.
1894,Asexual people who were born in India or are of Indian descent. Do not conflate with the Indigenous peoples of the United States.
1895,LGBTQ+ people who were born in India or are of Indian descent. Do not conflate with the Indigenous peoples of the United States.
1896,Bisexual people who were born in India or are of Indian descent. Do not conflate with the Indigenous peoples of the United States.
1897,Gay men who were born in India or are of Indian descent. Do not conflate with the Indigenous peoples of the United States.
1898,Intersex people who were born in India or are of Indian descent. Do not conflate with the Indigenous peoples of the United States.
1899,Lesbians who were born in India or are of Indian descent. Do not conflate with the Indigenous peoples of the United States.
1900,LGBTQ+ people who belong to or are descended from the ethnolinguistic groups of South Asia.
1901,Queer people who were born in India or are of Indian descent. Do not conflate with the Indigenous peoples of the United States.
1902,Transgender people who were born in India or are of Indian descent. Do not conflate with the Indigenous peoples of the United States.
1903,"Asexual people who are part of an Indigenous people, or culturally distinct ethnic group whose members are directly descended from the earliest known inhabitants of a particular region and, to some extent, maintain the language and culture of those people. Only use to describe people who identify as Indigenous; use more specific terms whenever possible."
1904,"Asexual people who are Native American, or part of the Indigenous peoples of North America; only use for people who self-identify as both Native American and asexual."
1905,Asexual people who identify as both Pacific Islanders (or of Pacific Islander ancestry) and American.
1906,"Asexual people who are Papuan, or part of the Indigenous peoples of new Guinea; only use for people who identify as Papuan."
1907,"Asexual people who are Inuit, or part of several Indigenous peoples inhabiting the Inuit homeland in the Arctic and subarctic regions of Greenland, Canada, and Alaska. Only use for people who identify as Inuit."
1908,"Bisexual people who are part of an Indigenous people, or culturally distinct ethnic group whose members are directly descended from the earliest known inhabitants of a particular region and, to some extent, maintain the language and culture of those people. Only use to describe people who identify as Indigenous; use more specific terms whenever possible."
1909,"Gay men who are part of an Indigenous people, or culturally distinct ethnic group whose members are directly descended from the earliest known inhabitants of a particular region and, to some extent, maintain the language and culture of those people. Only use to describe people who identify as Indigenous; use more specific terms whenever possible."
1910,"Intersex people who are part of an Indigenous people, or culturally distinct ethnic group whose members are directly descended from the earliest known inhabitants of a particular region and, to some extent, maintain the language and culture of those people. Only use to describe people who identify as Indigenous; use more specific terms whenever possible."
1911,"Intersex people who are part of the Indigenous people of Mokupuni o Hawai‘i, or the Hawaiian Islands; only use to refer to people who identify as Kanaka Maoli."
1912,Intersex people who identify as both Pacific Islanders (or of Pacific Islander ancestry) and American.
1913,"Lesbians who are part of an Indigenous people, or culturally distinct ethnic group whose members are directly descended from the earliest known inhabitants of a particular region and, to some extent, maintain the language and culture of those people. Only use to describe people who identify as Indigenous; use more specific terms whenever possible."
1914,"Term used by the Māori people, or people who are part of the Indigenous Polynesian people of mainland Aotearoa (New Zealand), that was historically used to describe an ""intimate companion of the same sex."" In the 1980s, the term was reclaimed for use by lesbian, gay, bisexual, transgender, queer, intersex people, and other members of Rainbow communities. Only use to refer to individuals who identify as Takatāpui."
1915,"Queer people who are part of an Indigenous people, or culturally distinct ethnic group whose members are directly descended from the earliest known inhabitants of a particular region and, to some extent, maintain the language and culture of those people. Only use to describe people who identify as Indigenous; use more specific terms whenever possible."
1916,"Transgender people who are part of an Indigenous people, or culturally distinct ethnic group whose members are directly descended from the earliest known inhabitants of a particular region and, to some extent, maintain the language and culture of those people. Only use to describe people who identify as Indigenous; use more specific terms whenever possible."
1917,"LGBTQ+ people who are Inuit, or part of several Indigenous peoples inhabiting the Inuit homeland in the Arctic and subarctic regions of Greenland, Canada, and Alaska. Only use for people who identify as Inuit."
1918,"LGBTQ+ people who are Papuan, or part of the Indigenous peoples of new Guinea; only use for people who identify as Papuan."
1919,"LGBTQ+ people who are part of the Indigenous people of Mokupuni o Hawai‘i, or the Hawaiian Islands; only use to refer to people who identify as Kanaka Maoli."
1920,"Any of various forms of inappropriate conduct, illegal actions, or abuses of power which directly or indirectly harm Indigenous LGBTQ+ persons."
1921,"Instruction about health for LGBTQ+ people, including topics such as gender-affirming healthcare and safer sex practices. "
1922,"The phenomenon in which intersex people internalize or adopt intersexphobic beliefs (i.e., negative perceptions of and intolerance toward intersex people and intersex variations) as a result of being raised or socialized within a intersexphobic environment or culture."
1923,"The phenomenon in which lesbians internalize or adopt lesbophobic beliefs (i.e., negative perceptions of and intolerance toward lesbians and lesbianism) as a result of being raised or socialized within a lesbophobic environment or culture."
1924,"The phenomenon in which transgender people internalize or adopt transphobic beliefs (i.e., negative perceptions of and intolerance toward transgender people and trans identities) as a result of being raised or socialized within a transphobic environment or culture."
1925,"The phenomenon in which queer people internalize or adopt queerphobic beliefs (i.e., negative perceptions of and intolerance toward queer people and queerness) as a result of being raised or socialized within a queerphobic environment or culture."
1926,Websites designed to facilitate discussion amongst users through posted messages.
1927,"Websites that facilitate online conversations between LGBTQ+ people, often about LGBQ+ issues."
1928,Umbrella term for activism focused on the rights of intersex people and issues faced by intersex communities.
1929,"Used to describe the experience of selfhood of intersex people. Intersex identity is not gender identity, sexual identity, nor sexual orientation. For the subject of intersex variations, use ""intersex variations"" or ""intersex"". For the subject of intersex people, use ""intersex people"". Do not use in place of gender-identity-related terms such as non-binary identity or genderfluid identity."
1930,"Direct action and organizing to achieve political or social change, bodily autonomy, and acceptance for intersex people."
1931,Intersex people working to bring about political or social change through public organizing.
1932,Collections of records and materials relating to intersex people or intersex communities; can include a variety of organizations and institutions from community to government archives.
1933,"Term for different forms of creative activity, including visual, material, and performing arts, by intersex artists or about intersex topics and communities. 
"
